"1,000 km",0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4
1,0.024,0.035,0.043,0.049,0.055,.060,0.065,.070,0.074,0.078,0.082,0.086,0.089,0.093
2,0.049,.070,0.086,0.099,0.111,0.121,0.131,.140,0.149,0.157,0.165,0.172,0.179,0.186
3,0.074,0.105,0.129,0.149,0.167,0.182,0.197,0.211,0.224,0.236,0.247,0.258,0.269,0.279
4,0.099,.140,0.172,0.199,0.222,0.243,0.263,0.281,0.298,0.314,.330,0.345,0.359,0.372
5,0.124,0.176,0.215,0.248,0.278,0.304,0.329,0.352,0.373,0.393,0.412,0.431,0.448,0.465
6,0.149,0.211,0.258,0.298,0.334,0.365,0.395,0.422,0.448,0.472,0.495,0.517,0.538,0.558
7,0.174,0.246,0.301,0.348,0.389,0.426,0.461,0.492,0.522,0.551,0.578,0.603,0.628,0.652
8,0.192,0.281,0.345,0.398,0.445,0.487,0.527,0.563,0.597,0.629,.660,.690,0.718,0.745
9,0.224,0.316,0.388,0.448,0.501,0.548,0.592,0.633,0.672,0.708,0.743,0.776,0.807,0.838
10,0.248,0.352,0.431,0.497,0.556,0.609,0.658,0.704,0.746,0.787,0.825,0.862,0.897,0.931
11,0.273,0.387,0.474,0.547,0.612,.670,0.724,0.774,0.821,0.866,0.908,0.948,0.987,1.024
12,0.298,0.422,0.517,0.597,0.668,0.731,.790,0.845,0.896,0.944,0.991,1.035,1.077,1.117
13,0.323,0.457,.560,0.647,0.723,0.792,0.856,0.915,0.971,1.023,1.073,1.121,1.167,1.211
14,0.348,0.492,0.603,0.697,0.779,0.853,0.922,0.985,1.045,1.102,1.156,1.207,1.256,1.304
15,0.373,0.528,0.646,0.746,0.835,0.914,0.988,1.056,1.120,1.181,1.238,1.293,1.346,1.397
16,0.398,0.563,.690,0.796,.890,0.975,1.054,1.126,1.195,1.259,1.321,1.380,1.436,1.490
17,0.423,0.598,0.733,0.846,0.946,1.036,1.119,1.197,1.269,1.338,1.403,1.466,1.526,1.583
18,0.448,0.633,0.776,0.896,1.002,1.097,1.185,1.267,1.344,1.417,1.486,1.552,1.615,1.676
19,0.473,0.669,0.819,0.946,1.057,1.158,1.251,1.338,1.419,1.496,1.569,1.638,1.705,1.770
20,0.497,0.704,0.862,0.995,1.113,1.219,1.317,1.408,1.493,1.574,1.651,1.725,1.795,1.863
21,0.522,0.739,0.905,1.045,1.169,1.280,1.383,1.478,1.568,1.653,1.734,1.811,1.885,1.956
22,0.547,0.774,0.948,1.095,1.224,1.341,1.449,1.549,1.643,1.732,1.816,1.897,1.975,2.049
23,0.572,0.809,0.991,1.145,1.280,1.402,1.515,1.619,1.718,1.811,1.899,1.983,2.064,2.142
24,0.597,0.845,1.035,1.195,1.336,1.463,1.581,1.690,1.792,1.889,1.982,2.070,2.154,2.235
25,0.622,.880,1.078,1.244,1.391,1.524,1.646,1.760,1.867,1.968,2.064,2.156,2.244,2.329
26,0.647,0.915,1.121,1.294,1.447,1.585,1.712,1.831,1.942,1.047,2.147,2.242,2.334,2.422
27,0.672,.950,1.164,1.344,1.503,1.646,1.778,1.901,2.016,2.125,2.229,2.328,2.423,2.515
28,0.697,0.985,1.207,1.394,1.558,1.707,1.844,1.971,2.091,2.204,2.312,2.415,2.513,2.608
29,0.722,1.021,1.250,1.444,1.614,1.768,1.910,2.042,2.166,2.283,2.394,2.501,2.603,2.701
30,0.746,1.056,1.293,1.493,1.670,1.829,1.976,2.112,2.240,2.362,2.477,2.587,2.693,2.794
