"1,000 km",0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,L 3,L 4
1,299,299,299,299,299,299,299,299,299,299,299,299,299,299
2,299,299,299,299,299,299,299,299,299,287,262,240,220,205
3,299,299,299,299,256,212,181,160,142,127,116,106,97,90
4,299,299,237,178,143,118,101,89,79,71,64,59,54,50
5,299,227,152,114,91,76,65,56,50,45,41,38,35,32
6,299,158,105,79,63,52,45,39,35,31,28,26,24,22
7,232,116,77,58,46,38,33,29,25,23,21,19,17,16
8,178,89,59,44,35,29,25,22,19,17,16,14,13,12
9,141,70,46,35,28,23,20,17,15,14,12,11,10,10
10,114,56,38,28,22,18,16,14,12,11,10,9,8,8
11,94,47,31,23,18,15,13,11,10,9,8,7,7,6
12,79,39,26,19,15,13,11,9,8,7,7,6,6,5
13,67,33,22,16,13,11,9,8,7,6,6,5,5,4
14,58,29,19,14,11,9,8,7,6,5,5,4,4,4
15,50,25,16,12,10,8,7,6,5,5,4,4,3,3
16,44,22,14,11,8,7,6,5,4,4,4,3,3,3
17,39,19,13,9,7,6,5,4,4,3,3,3,3,2
18,35,17,11,8,7,5,5,4,3,3,3,2,2,2
19,31,15,10,7,6,5,4,3,3,3,2,2,2,2
20,28,14,9,7,5,4,4,3,3,2,2,2,2,2
21,25,12,8,6,5,4,3,3,2,2,2,2,1,1
22,23,11,7,5,4,3,3,2,2,2,2,1,1,1
23,21,10,7,5,4,3,3,2,2,2,1,1,1,1
24,19,9,6,4,3,3,2,2,2,1,1,1,1,1
25,18,9,6,4,3,3,2,2,2,1,1,1,1,1
26,16,8,5,4,3,2,2,2,1,1,1,1,1,1
27,15,7,5,3,3,2,2,1,1,1,1,1,1,1
28,14,7,4,3,2,2,2,1,1,1,1,1,1,1
29,13,6,4,3,2,2,1,1,1,1,1,1,1,0
30,12,6,4,3,2,2,1,1,1,1,1,1,0,0
